餐廳名稱,留言者,留言者身分,留言時間,星級評等,評論內容
大東夜市,蔣智任,在地嚮導 · 37 則評論 · 18 張相片,3 週前,5 顆星,吃的東西不少，有吃到想吃的東西，地方沒有很大就是。
大東夜市,黃美雪,在地嚮導 · 15 則評論 · 7 張相片,3 週前,4 顆星,
大東夜市,Fong,在地嚮導 · 231 則評論 · 679 張相片,3 週前,3 顆星,停車有點亂
大東夜市,黃士誠,"在地嚮導 · 240 則評論 · 1,873 張相片",3 週前,5 顆星,"今天來到「大東夜市」，這裡是台南著名的夜市之一，攤位種類豐富，美食選擇超多，整體逛下來真的很有滿足感。一進夜市，就能聞到四處飄來的香氣，炸物、烤肉、滷味、甜點應有盡有，每個攤位前都擠滿了人潮，氣氛熱鬧非凡。

首先當然要先來點台南必吃小吃，像是碳烤雞排、鹽酥雞，外皮酥脆，肉質多汁，超級涮嘴。接著又買了大腸包小腸，糯米腸Q彈，搭配炭烤香腸和蒜片，口感豐富又香氣十足。還點了一碗羊肉湯，湯頭溫潤，帶著淡淡的中藥香，喝起來相當暖胃。最後當然不能錯過甜點，選了古早味粉圓豆花，豆花細緻滑順，搭配Q彈的粉圓和黑糖糖水，簡單卻讓人回味無窮。

整體來說，大東夜市的攤販種類真的很齊全，不管是經典小吃還是特色料理，應有盡有，還有一些趣味遊戲攤位可以玩，逛起來完全不無聊。價格算是合理，份量也足夠，很適合和朋友或家人一起來邊吃邊逛。如果喜歡台南夜市文化，大東夜市絕對值得一來，下次一定會再來探索更多美食！"
大東夜市,yi s,"在地嚮導 · 304 則評論 · 6,273 張相片",3 週前,4 顆星,東西玲琅滿目，但物價已經偏高了
大東夜市,帳號抖音,5 張相片,3 週前,4 顆星,
大東夜市,Maggie Lam,在地嚮導 · 12 則評論 · 45 張相片,3 週前,5 顆星,身為遊客我覺得比花園夜市好逛吃，因為沒有那麼多人，可以更自如的吃到大部分夜市小吃～因為第二天去花園夜市其實也有看到很多重複的店家和品類！
大東夜市,小熊維尼,在地嚮導 · 54 則評論 · 157 張相片,3 週前,5 顆星,第一次來大東夜市，導航汽車車位結果是汽機車監理站，沒車位要到路邊找收費車位，臭豆腐好吃，烤魚也很嫩，章魚燒很香，吉拿棒很甜
大東夜市,ADVAN ASSEN,在地嚮導 · 604 則評論 · 211 張相片,3 週前,5 顆星,環境良好
大東夜市,Tung Tung,在地嚮導 · 11 則評論 · 8 張相片,3 週前,5 顆星,
大東夜市,Miggy Gee,在地嚮導 · 13 則評論 · 107 張相片,3 週前,3 顆星,
大東夜市,Alan Li,7 則評論 · 4 張相片,3 週前,5 顆星,
大東夜市,Ching Lu,在地嚮導 · 60 則評論 · 56 張相片,3 週前,5 顆星,"不愧是夜市王該主題得主，雞排有很特別的醬汁，讓雞排吃起來別有風味，肉質也很棒！

夜市的第一排蔥油餅、大腸包小腸都神好吃～☺️☺️"
大東夜市,張功人,2 則評論 · 4 張相片,3 週前,4 顆星,
大東夜市,J J,在地嚮導 · 44 則評論 · 3 張相片,3 週前,5 顆星,"儘管你很忙，我還是被你的善良所感動。
野豬腸、地瓜湯+QQ丸、蔥油餅？請嘗試一下。很好吃。"
大東夜市,Anmol Nigam,在地嚮導,3 週前,5 顆星,
大東夜市,Cookie “Falkor” M,在地嚮導 · 235 則評論 · 89 張相片,3 週前,5 顆星,很多美味的食物而且非常便宜
大東夜市,楊淳傅,在地嚮導 · 15 則評論 · 2 張相片,4 週前,4 顆星,
大東夜市,藍默,在地嚮導 · 15 則評論,4 週前,4 顆星,
大東夜市,zhi long Lin (開運竹),在地嚮導 · 55 則評論 · 93 張相片,4 週前,5 顆星,店家空攤位較多 人潮還保持一些 多數攤位差不多
